Date,HDFC Bank,ICICI Bank,Axis Bank,SBIN,Kotak Bank
2014,332,190,233,164,364
2014,336,188,231,162,364
2014,340,193,235,164,366
2014,335,192,236,164,365
2014,336,188,235,163,356
2014,330,192,237,164,358
2014,331,186,233,161,350
2014,332,191,237,164,355
2014,331,192,242,166,356
2014,330,191,247,166,354
2014,331,189,251,169,357
2014,328,194,252,172,356
2014,332,196,254,174,354
2014,332,200,258,177,361
2015,536,238,449,224,720
2015,538,239,455,226,709
2015,537,241,458,228,706
2015,536,240,455,229,708
2015,536,235,451,228,701
2015,532,238,452,230,703
2015,537,236,447,228,698
2015,535,235,442,230,706
2015,539,227,433,227,702
2015,532,230,436,231,703
2015,529,229,438,227,695
2015,526,224,436,226,687
2015,522,226,431,226,674
2015,529,227,441,227,668
2015,523,235,450,232,678
2015,523,236,451,234,669
2015,530,238,459,236,674
2015,528,239,462,239,672
2015,537,238,461,241,665
2015,538,242,463,241,675
2015,540,246,460,245,680
2015,538,249,462,250,689
2015,539,250,469,250,692
2015,531,246,471,250,699
2015,531,240,465,243,685
2015,532,239,464,241,678
2015,534,242,463,243,684
2015,533,241,460,243,682
2015,523,242,463,244,682
2015,529,237,464,241,673
2015,529,244,476,248,677
2015,525,243,481,248,679
2015,526,238,485,240,670
2015,526,240,480,243,656
2015,531,239,468,241,647
2015,539,239,465,246,660
2015,539,243,465,243,657
2015,540,246,464,234,651
2015,541,249,473,239,673
2015,540,254,475,236,683
2015,549,254,478,237,687
2015,551,252,475,237,688
2015,555,247,469,237,664
2015,554,247,483,242,671
2015,550,258,522,249,660
2015,553,259,521,251,662
2015,546,260,526,253,665
2015,546,257,512,250,657
2015,548,260,509,255,654
2015,549,261,507,255,658
2015,541,264,505,255,659
2015,541,260,499,249,653
2015,537,257,496,244,653
2015,539,261,491,244,656
2015,542,261,487,245,662
2015,540,260,490,243,660
2015,543,253,492,243,654
2015,542,257,497,244,661
2015,548,257,506,240,656
2015,533,255,513,240,653
2015,533,243,496,235,641
2015,531,246,496,237,648
2015,522,245,505,242,652
2015,525,244,507,239,641
2015,523,244,514,239,654
2015,514,249,512,240,659
2015,525,246,510,238,643
2015,524,254,528,245,665
2015,511,253,517,242,657
2015,505,248,494,237,641
2015,509,244,483,234,640
2015,504,248,496,235,646
2015,504,243,481,230,631
2015,507,243,483,227,635
2015,501,241,486,232,635
2015,491,237,474,228,620
2015,497,226,450,221,601
2015,504,234,468,225,606
2015,496,243,487,232,627
2015,499,241,467,231,609
2015,513,246,480,239,614
2015,513,253,508,247,652
2015,510,258,508,249,647
2015,506,257,509,249,650
2015,508,253,496,246,627
2015,508,258,503,253,639
2015,529,245,482,245,648
2015,536,270,525,268,688
2015,540,271,533,271,697
2015,542,277,554,278,712
2015,545,274,561,285,705
2015,550,275,561,280,720
2015,538,275,570,269,718
2015,534,265,568,259,691
2015,546,265,558,256,686
2015,546,275,571,269,705
2015,545,281,576,283,707
2015,547,282,580,281,705
2015,545,283,585,289,707
2015,542,283,580,285,692
2015,546,286,580,289,691
2015,555,284,577,281,690
2015,554,275,574,270,695
2015,553,265,566,257,717
2015,553,263,567,254,726
2015,547,259,561,259,729
2015,553,265,556,258,715
2015,553,273,580,263,725
2015,556,284,584,270,720
2015,548,288,590,269,729
2015,556,283,585,264,721
2015,554,287,600,267,737
2015,556,289,602,271,733
2015,547,288,609,272,741
2015,545,286,584,268,712
2015,547,285,584,268,711
2015,544,288,582,274,715
2015,536,285,578,271,709
2015,533,281,572,268,705
2015,542,280,577,267,707
2015,541,284,586,273,713
2015,536,287,584,271,722
2015,528,286,586,269,714
2015,535,285,584,268,718
2015,532,284,579,268,704
2015,527,280,559,263,693
2015,530,283,563,260,684
2015,531,283,566,265,690
2015,522,286,570,265,703
2015,525,289,572,262,692
2015,522,285,571,268,690
2015,514,286,572,266,679
2015,509,277,552,260,664
2015,501,276,550,258,654
2015,503,274,549,255,648
2015,501,275,551,255,645
2015,503,272,550,250,645
2015,499,269,551,254,656
2015,507,262,547,254,640
2015,500,266,565,261,667
2015,501,261,559,258,665
2015,505,257,554,255,676
2015,506,258,548,258,678
2015,502,264,556,258,683
2015,503,269,551,257,673
2015,517,277,553,266,680
2015,524,288,578,278,696
2015,514,288,585,278,700
2015,518,286,575,278,684
2015,513,285,578,281,687
2015,511,282,564,277,691
2015,511,284,562,278,688
2015,511,285,569,282,694
2015,511,285,570,290,699
2015,503,290,558,293,692
2015,504,287,561,288,689
2015,494,288,568,290,682
2015,494,284,562,287,672
2015,494,286,556,281,663
2015,485,289,559,274,671
2015,494,280,532,267,659
2015,490,294,551,276,670
2015,475,288,541,262,665
2015,484,277,527,261,654
2015,493,284,543,265,676
2015,499,299,566,272,712
2015,493,299,568,277,669
2015,495,301,568,270,666
2015,501,300,552,272,665
2015,502,297,535,273,671
2015,502,275,524,267,668
2015,506,280,527,276,684
2015,505,284,538,278,689
2015,500,285,540,284,681
2015,501,283,523,289,677
2015,508,283,518,288,685
2015,514,282,534,292,693
2015,515,284,551,292,709
2015,518,286,550,290,722
2015,520,288,566,286,723
2015,527,289,568,286,711
2015,517,291,572,281,715
2015,515,286,556,274,686
2015,515,289,558,272,693
2015,515,292,569,275,699
2015,510,294,570,273,681
2015,517,287,560,267,657
2015,506,290,564,268,656
2015,502,286,546,264,650
2015,516,280,544,257,653
2015,518,288,562,265,663
2015,523,284,558,271,670
2015,527,285,555,275,668
2015,525,290,556,278,670
2015,531,300,564,282,663
2015,528,304,581,287,671
2015,525,304,580,283,670
2015,520,301,569,282,657
2015,526,300,570,281,671
2015,527,307,584,287,685
2015,525,302,584,285,688
2015,528,303,585,288,674
2015,541,303,592,291,682
2015,531,316,617,294,706
2015,540,318,613,294,705
2015,540,317,631,303,704
2015,534,317,648,302,702
2015,526,315,613,302,699
2015,518,305,567,300,669
2015,525,292,552,289,667
2015,533,293,553,296,671
2015,533,296,552,296,675
2015,535,299,549,297,658
2015,539,301,562,302,649
2015,536,308,565,302,654
2015,533,311,570,306,654
2015,532,307,570,307,646
2015,537,313,581,307,655
2015,528,308,579,284,648
2015,526,304,569,286,649
2015,519,301,554,287,643
2015,526,291,554,280,633
2015,537,299,563,290,633
2015,533,305,566,291,644
2015,531,313,559,293,646
2015,540,315,587,300,653
2015,537,320,617,308,676
2015,546,328,588,309,661
2015,528,346,600,327,666
2015,536,349,591,335,676
2015,520,349,592,330,694
2015,509,337,565,327,693
2015,509,336,565,325,694
2015,509,335,547,326,694
2015,501,334,551,318,698
2015,500,328,529,313,695
2015,495,322,515,315,698
2015,481,321,514,320,700
2015,481,306,500,305,696
2015,482,310,505,305,696
2015,487,315,502,307,686
2015,481,311,495,303,680
2015,471,316,502,305,670
2015,470,308,499,300,636
2015,478,316,499,300,626
2015,482,330,518,313,633
2015,475,329,514,315,636
2015,475,320,503,314,629
2016,601,232,450,250,720
2016,592,228,444,248,713
2016,591,229,440,248,713
2016,586,231,438,249,712
2016,592,226,432,244,711
2016,585,229,438,249,712
2016,589,230,448,250,713
2016,590,230,458,255,720
2016,587,229,462,255,718
2016,590,234,468,261,720
2016,587,232,473,265,719
2016,587,237,478,265,725
2016,592,237,467,263,728
2016,591,240,453,266,731
2016,598,241,445,264,730
2016,598,244,456,267,745
2016,589,239,449,260,749
2016,596,235,447,256,734
2016,597,237,456,259,734
2016,593,237,461,257,730
2016,597,236,460,254,724
2016,598,236,466,256,745
2016,588,241,470,258,755
2016,591,232,465,253,745
2016,593,232,473,254,750
2016,581,236,471,261,752
2016,591,236,468,262,742
2016,598,241,481,259,766
2016,598,239,471,257,770
2016,604,237,466,257,763
2016,614,241,473,276,779
2016,621,243,474,277,776
2016,626,242,473,277,771
2016,636,245,479,278,790
2016,638,251,499,273,816
2016,624,266,507,281,819
2016,626,256,488,260,822
2016,623,257,491,253,812
2016,620,253,485,253,802
2016,626,245,479,243,800
2016,622,245,476,246,806
2016,629,247,477,251,804
2016,625,250,476,259,806
2016,628,252,488,258,820
2016,625,252,487,258,819
2016,618,258,486,255,807
2016,624,253,488,259,812
2016,630,263,529,261,787
2016,634,259,522,263,787
2016,626,252,526,259,782
2016,628,252,540,260,772
2016,628,241,536,255,774
2016,617,246,532,257,777
2016,630,235,519,253,769
2016,630,220,521,252,782
2016,641,219,519,250,772
2016,639,227,532,257,780
2016,640,228,534,259,783
2016,642,228,531,257,783
2016,643,232,536,261,782
2016,642,235,547,260,792
2016,635,233,551,255,788
2016,637,229,541,251,777
2016,646,228,539,247,773
2016,648,237,549,254,782
2016,647,236,541,249,784
2016,655,239,547,252,788
2016,652,247,557,255,796
2016,645,250,592,258,795
2016,643,245,599,251,788
2016,644,247,593,254,793
2016,647,247,594,256,803
2016,638,243,602,254,807
2016,633,246,589,256,809
2016,639,247,602,258,806
2016,644,244,592,253,813
2016,643,249,613,264,819
2016,642,251,629,268,820
2016,649,253,625,267,804
2016,641,248,636,260,818
2016,640,238,599,255,814
2016,644,237,597,252,811
2016,633,235,597,253,807
2016,618,233,591,252,786
2016,627,228,589,249,781
2016,628,223,586,247,781
2016,630,225,587,250,781
2016,624,226,583,254,777
2016,624,227,583,255,778
2016,622,229,580,255,773
2016,625,231,589,259,779
2016,616,230,593,248,784
2016,612,225,590,246,766
2016,613,226,583,247,773
2016,613,224,591,243,763
2016,612,221,570,227,765
2016,622,218,568,232,761
2016,623,223,574,235,765
2016,623,223,571,233,772
2016,619,224,567,233,774
2016,619,219,548,226,756
2016,620,220,549,227,756
2016,620,223,550,228,760
2016,622,227,551,227,753
2016,623,239,546,229,764
2016,617,247,544,231,750
2016,618,246,549,229,754
2016,622,238,554,227,752
2016,614,244,538,230,764
2016,613,240,538,224,760
2016,615,238,538,226,761
2016,608,243,558,231,782
2016,612,245,565,230,778
2016,610,239,571,229,777
2016,599,242,565,232,772
2016,598,244,560,232,780
2016,600,237,557,228,775
2016,599,238,561,227,764
2016,586,227,544,225,761
2016,592,220,546,218,743
2016,582,223,542,220,746
2016,585,223,540,224,740
2016,586,226,544,223,744
2016,587,219,543,220,753
2016,583,219,534,219,763
2016,582,215,518,217,753
2016,579,212,514,216,743
2016,580,212,514,217,739
2016,594,210,511,211,734
2016,584,219,526,218,747
2016,582,217,516,213,739
2016,585,216,517,214,747
2016,584,216,522,216,752
2016,580,217,527,213,751
2016,583,217,523,216,754
2016,575,225,529,216,766
2016,575,223,530,208,752
2016,579,222,531,202,756
2016,578,230,541,206,751
2016,580,231,543,210,753
2016,586,234,539,211,759
2016,584,231,534,210,772
2016,585,221,533,199,765
2016,586,222,543,197,769
2016,586,219,524,201,746
2016,590,218,512,198,745
2016,589,222,515,205,747
2016,592,222,514,199,743
2016,590,221,512,196,743
2016,585,219,519,184,730
2016,569,214,502,175,713
2016,567,204,489,170,698
2016,569,201,487,168,703
2016,568,200,491,171,702
2016,569,205,491,173,706
2016,575,206,501,180,709
2016,580,205,503,177,709
