Date,TCS,Infosys,HCL,Wirpo
2015,1183,530,430,217
2015,1181,540,439,218
2015,1182,544,435,215
2015,1177,533,436,214
2015,1173,526,431,214
2015,1184,521,433,211
2015,1196,527,432,214
2015,1199,526,433,214
2015,1181,524,437,209
2015,1176,510,423,208
2015,1195,531,428,208
2015,1187,540,419,208
2015,1199,550,422,207
2015,1234,554,426,209
2015,1229,552,426,209
2015,1236,567,441,210
2015,1253,569,443,214
2015,1241,561,439,214
2015,1267,568,441,215
2015,1272,573,438,215
2015,1259,566,438,216
2015,1248,568,436,215
2015,1248,573,438,215
2015,1265,577,439,217
2015,1266,575,434,216
2015,1268,576,432,213
2015,1269,575,426,213
2015,1265,569,432,217
2015,1263,563,432,214
2015,1244,556,429,217
2015,1237,547,421,217
2015,1234,549,418,216
2015,1242,549,417,219
2015,1299,550,415,220
2015,1296,561,428,219
2015,1315,584,425,222
2015,1317,566,414,221
2015,1327,567,409,221
2015,1350,577,427,225
2015,1356,591,430,225
2015,1322,587,429,225
2015,1294,581,491,224
2015,1294,561,477,221
2015,1297,553,475,222
2015,1290,570,477,226
2015,1266,558,464,222
2015,1263,554,472,223
2015,1276,552,472,222
2015,1276,552,475,222
2015,1275,551,469,218
2015,1274,550,464,214
2015,1276,550,464,214
2015,1276,545,460,210
2015,1273,540,458,207
2015,1275,544,472,210
2015,1270,529,468,211
2015,1270,529,460,207
2015,1274,537,470,208
2015,1303,550,481,213
2015,1296,550,474,208
2015,1269,545,474,212
2015,1282,547,486,214
2015,1285,556,476,211
2015,1287,541,457,207
2015,1288,532,451,207
2015,1284,543,457,203
2015,1289,546,464,204
2015,1338,575,482,216
2015,1343,567,481,216
2015,1367,588,494,219
2015,1370,582,485,214
2015,1342,571,484,216
2015,1352,575,487,216
2015,1318,579,483,214
2015,1336,572,485,217
2015,1302,555,470,212
2015,1286,543,468,211
2015,1276,548,470,213
2015,1287,543,473,214
2015,1274,543,469,216
2015,1254,529,466,210
2015,1255,539,469,214
2015,1255,539,499,214
2015,1240,535,479,211
2015,1253,543,476,212
2015,1251,531,462,209
2015,1249,533,469,211
2015,1253,544,476,213
2015,1244,549,485,221
2015,1264,552,492,219
2015,1281,556,487,216
2015,1290,501,473,213
2015,1282,501,478,213
2015,1270,495,478,216
2015,1273,492,474,217
2015,1250,486,477,212
2015,1255,475,480,210
2015,1237,469,463,206
2015,1261,469,459,204
2015,1298,479,467,207
2015,1308,490,468,208
2015,1317,492,485,206
2015,1302,495,482,206
2015,1289,494,477,208
2015,1297,499,472,207
2015,1275,492,460,205
2015,1296,495,464,207
2015,1296,503,479,209
2015,1275,495,463,207
2015,1285,498,469,212
2015,1287,500,464,209
2015,1296,512,466,210
2015,1275,498,459,211
2015,1265,501,457,209
2015,1257,498,453,205
2015,1256,500,453,203
2015,1252,495,454,203
2015,1253,494,448,202
2015,1286,499,457,205
2015,1300,507,471,211
2015,1281,498,456,204
2015,1289,500,459,208
2015,1288,503,465,208
2015,1303,507,470,207
2015,1305,505,476,205
2015,1300,502,476,206
2015,1309,512,487,211
2015,1305,506,505,211
2015,1305,504,490,208
2015,1308,492,496,207
2015,1304,502,497,209
2015,1301,504,500,211
2015,1309,512,492,210
2015,1278,512,485,212
2015,1279,512,480,212
2015,1256,506,467,207
2015,1260,498,465,204
2015,1256,490,457,202
2015,1250,484,463,201
